group	Database	PPI count
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	10
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	8
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	8
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	8
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	11
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	9
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	10
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	21
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	32
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	8
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	11
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	9
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	10
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	11
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	13
random control BioGRID	BioGRID	10
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	8
random control BioGRID	BioGRID	7
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	11
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	1
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	6
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	13
random control BioGRID	BioGRID	8
random control BioGRID	BioGRID	5
random control BioGRID	BioGRID	3
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	2
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	0
random control BioGRID	BioGRID	4
